New format (spdx.org)	Old format (fedora, PDB, etc)
AAL	AAL
AFL-2.1	Academic Free License 2.1
AGPL-3.0	Affero GPL
AFL-2.1	AFL 2.1
AFL-1.2	AFL-1.2
AFL-2.0	AFL-2.0
AFL-2.1	AFL-2.1
AFL-3.0	AFL-3.0
AGPL-3.0	AGPL-3.0
AGPL-3.0	AGPLv3
SUSE-AGPL-3.0+	AGPLv3+
ANTLR-PD	ANTLR-PD
Apache-1.1	Apache 1.1 (Indiana University)
Apache-2.0	Apache 2.0
Apache-2.0	Apache License
Apache-2.0	Apache License 2.0
Apache-2.0	Apache License, Version 2.0
Apache-2.0	Apache Software License ..
Apache-2.0	Apache Software License
Apache-2.0	Apache Software License, Version 2.0
Apache-2.0	Apache v2.0
Apache-1.0	Apache-1.0
Apache-1.1	Apache-1.1
Apache-2.0	Apache-2.0
APL-1.0	APL-1.0
APL-1.0	APL-1.0 (spdx.org/licenses)
APSL-1.0	APSL-1.0
APSL-1.1	APSL-1.1
APSL-1.2	APSL-1.2
APSL-2.0	APSL-2.0
Artistic-1.0	Artistic
Artistic-1.0	Artistic 1.0
Artistic-2.0	Artistic 2.0
Artistic-1.0	Artistic license
Artistic-1.0	Artistic License
Artistic-1.0	Artistic License ..
Artistic-1.0	Artistic-1.0
SUSE-Artistic-1.0+	Artistic-1.0+
Artistic-2.0	Artistic-2.0
Apache-1.1	ASL 1.1
Apache-2.0	ASL 2.0
Apache-2.0	ASL2
Apache-2.0	ASLv..
Apache-2.0	ASLv2
Apache-2.0	ASLv2.0
SUSE-Apache-2.0+	ASLv2.0+
BSD-3-Clause	BSD (3-Clause)
BSD-2-Clause	BSD 2 clause
BSD-2-Clause	BSD 2 Clause
BSD-2-Clause	BSD 2-clause
BSD-2-Clause	BSD 2-Clause
BSD-3-Clause	BSD 3-Clause
BSD-3-Clause	BSD 3-clause (or similar)
BSD-2-Clause	BSD-2-Clause
BSD-2-Clause	BSD-2c
BSD-3-Clause	BSD-3
BSD-3-Clause	BSD-3-Clause
BSD-3-Clause	BSD-3-clause (or similar)
BSD-4-Clause	BSD-4-Clause
BSD-2-Clause	BSD2c
BSD-3-Clause	BSD3
BSD-3-Clause	BSD3c
BSD-3-Clause	BSD3c (or similar)
BSD-3-Clause	BSD3c(or similar)
BSD-4-Clause	BSD4c
BSD-4-Clause	BSD4c(or similar)
BSL-1.0	BSL-1.0
CATOSL-1.1	CATOSL-1.1
CC-BY-SA-3.0	CC BY-SA 3.0
CC-BY-SA-2.5	CC by-sa V2.5
CC-BY-SA-3.0	CC BY-SA V3.0
CC-BY-1.0	CC-BY-1.0
CC-BY-2.0	CC-BY-2.0
CC-BY-2.5	CC-BY-2.5
CC-BY-3.0	CC-BY-3.0
CC-BY-NC-1.0	CC-BY-NC-1.0
CC-BY-NC-2.0	CC-BY-NC-2.0
CC-BY-NC-2.5	CC-BY-NC-2.5
CC-BY-NC-3.0	CC-BY-NC-3.0
CC-BY-NC-ND-1.0	CC-BY-NC-ND-1.0
CC-BY-NC-ND-2.0	CC-BY-NC-ND-2.0
CC-BY-NC-ND-2.5	CC-BY-NC-ND-2.5
CC-BY-NC-ND-3.0	CC-BY-NC-ND-3.0
CC-BY-NC-SA-1.0	CC-BY-NC-SA-1.0
CC-BY-NC-SA-2.0	CC-BY-NC-SA-2.0
CC-BY-NC-SA-2.5	CC-BY-NC-SA-2.5
CC-BY-NC-SA-3.0	CC-BY-NC-SA-3.0
CC-BY-ND-1.0	CC-BY-ND-1.0
CC-BY-ND-2.0	CC-BY-ND-2.0
CC-BY-ND-2.5	CC-BY-ND-2.5
CC-BY-ND-3.0	CC-BY-ND-3.0
CC-BY-SA-1.0	CC-BY-SA-1.0
CC-BY-SA-2.0	CC-BY-SA-2.0
CC-BY-SA-2.5	CC-BY-SA-2.5
CC-BY-SA-3.0	CC-BY-SA-3.0
CC0-1.0	CC0-1.0
CDDL-1.0	CDDL
CDDL-1.0	CDDL 1.0
CDDL-1.0	CDDL-1.0
CECILL-1.0	CECILL-1.0
CECILL-1.1English	CECILL-1.1English
CECILL-2.0	CECILL-2.0
CECILL-B	CECILL-B
CECILL-C	CECILL-C
ClArtistic	ClArtistic
CPL-1.0	Common Public License - v 1.0
CPL-1.0	Common Public License v1.0
CPL-1.0	Common Public License v1.0 (CPL)
CPL-1.0	Common Public License Version 1.0
CPL-1.0	Common Public License Version 1.0 (CPL1.0)
CPAL-1.0	CPAL-1.0
CPL-1.0	CPL (Common Public License) v1
CPL-1.0	CPL 1.0
CPL-1.0	CPL 1.0 ...
CPL-1.0	CPL-1.0
CUA-OPL-1.0	CUA-OPL-1.0
SUSE-DMTF	Distributed Management Task Force ( see https://fedoraproject.org/wiki/Licensing/DMTF )
ECL-1.0	ECL-1.0
ECL-2.0	ECL-2.0
EPL-1.0	Eclipse Public License
EPL-1.0	Eclipse-1.0
EPL-1.0	Eclipse Public License 1.0
eCos-2.0	eCos-2.0
EFL-1.0	EFL-1.0
EFL-2.0	EFL-2.0
Entessa	Entessa
EPL-1.0	EPL
EPL-1.0	EPL 1.0
EPL-1.0	EPL 1.0 ...
EPL-1.0	EPL v1.0
EPL-1.0	EPL-1
EPL-1.0	EPL-1.0
ErlPL-1.1	Erlang Public License
ErlPL-1.1	ErlPL-1.1
EUDatagrid	EUDatagrid
EUPL-1.0	EUPL-1.0
EUPL-1.1	EUPL-1.1
MIT	Expat
MIT	Expat License
Fair	Fair
SUSE-FLTK	Fltk
SUSE-GFDL-1.1+	FDL v1.1 or later
SUSE-GFDL-1.2+	FDL-1.2+
SUSE-GFDL-1.3+	FDL-1.3+
SUSE-GFDL-1.2+	FDLv1.2+
Frameworx-1.0	Frameworx-1.0
SUSE-Freeware	Freeware
SUSE-Freeware	Freeware license
GFDL-1.1	GFDL 1.1
GFDL-1.2	GFDL 1.2
GFDL-1.1	GFDL v1.1
GFDL-1.2	GFDL v1.2
GFDL-1.1	GFDL-1.1
GFDL-1.2	GFDL-1.2
GFDL-1.3	GFDL-1.3
GFDL-1.1	GFDLv1.1
GFDL-1.2	GFDLv1.2
SUSE-GFDL-1.2+	GFDLv1.2+
GPL-2.0	GLPv2
GFDL-1.1	GNU Free Documentation License, Version 1.1 (GFDL 1.1)
GFDL-1.2	GNU Free Documentation License, Version 1.2 (GFDL 1.2)
GFDL-1.3	GNU Free Documentation License, Version 1.3 (GFDL 1.3)
GPL-2.0	GNU General Public License (GPL) v2
GPL-2.0	GNU General Public License version 2 (GPL v2)
GPL-2.0+	GNU General Public License version 2 or later
GPL-2.0+	GNU General Public License version 2 or later (GPL v2 or later)
GPL-2.0+	GNU General Public License version 2 or later (GPLv2 or later)
GPL-3.0	GNU General Public License version 3 (GPLv3)
GPL-2.0	GNU GPL v2
GPL-3.0+	GNU GPL v3 or later
GPL-3.0	GNU GPL version 3
LGPL-3.0	GNU Lesser General Public License (LGPL), Version 3
LGPL-2.1	GNU Lesser General Public License version 2.1 (LGPL v2.1)
LGPL-3.0	GNU Lesser General Public License version 3 (LGPL v3)
LGPL-2.1+	GNU LGPL v2.1 or later
LGPL-2.1	GNU LGPLv2.1
SUSE-LGPL-2.1+-with-GCC-exception	LGPLv2+ with GCC exception
GPL-2.0	GPL 2.0
GPL-3.0	GPL 3
GPL-2.0	GPL v2
GPL-2.0	GPL v2 only
GPL-2.0+	GPL v2 or later
GPL-2.0+	GPL v2 or later  
GPL-2.0	GPL v2.0
GPL-2.0+	GPL v2.0 or later
GPL-2.0+	GPL v2+
GPL-3.0	GPL v3
GPL-3.0	GPL v3 only
GPL-3.0+	GPL v3 or later
GPL-1.0	GPL-1.0
GPL-1.0+	GPL-1.0+
GPL-2.0	GPL-2
GPL-2.0	GPL-2.0
GPL-2.0+	GPL-2.0 or later
GPL-2.0-with-autoconf-exception	GPL-2.0-with-autoconf-exception
GPL-2.0-with-bison-exception	GPL-2.0-with-bison-exception
GPL-2.0-with-classpath-exception	GPL-2.0-with-classpath-exception
GPL-2.0-with-font-exception	GPL-2.0-with-font-exception
GPL-2.0-with-GCC-exception	GPL-2.0-with-GCC-exception
SUSE-GPL-2.0-with-FLOSS-exception	SUSE-GPL-2.0-with-FLOSS-exception
SUSE-GPL-2.0+-with-openssl-exception	GPLv2+ with openssl linking exception
SUSE-GPL-3.0+-with-openssl-exception	GPLv3+ with openssl linking exception
GPL-2.0+	GPL-2.0+
GPL-2.0+	GPL-2+
GPL-3.0	GPL-3
GPL-3.0	GPL-3.0
GPL-3.0-with-autoconf-exception	GPL-3.0-with-autoconf-exception
SUSE-GPL-3.0+-with-autoconf-exception	GPLv3+ with exceptions
GPL-3.0-with-GCC-exception	GPL-3.0-with-GCC-exception
GPL-3.0+	GPL-3.0+
GPL-3.0+	GPL-3+
GPL-1.0+	GPL+
GPL-2.0	GPL2
GPL-2.0+	GPL2+
GPL-3.0	GPL3
GPL-1.0+	GPLv1+
GPL-2.0	GPLv2
GPL-2.0+	GPLv2 or later
GPL-2.0+	GPLv2+
GPL-3.0	GPLv3
GPL-3.0+	GPLv3+
gSOAP-1.3b	gSOAP-1.3b
SUSE-Gnuplot	Gnuplot
SUSE-Freetype	Freetype
HPND	HPND
SUSE-IJG	JPEG License
SUSE-ImageMagick	ImageMagick
IPL-1.0	IBM PL
IPL-1.0	IBM Public License
IPL-1.0	IBM Public License ..
IPA	IPA
IPL-1.0	IPL-1.0
ISC	ISC
ISC	ISC License
LGPL-2.1	LGPL 2.1
LGPL-2.0	LGPL v2
LGPL-2.0+	LGPL v2 or later
LGPL-2.0	LGPL v2.0 only
LGPL-2.0+	LGPL v2.0 or later
LGPL-2.1	LGPL v2.1
SUSE-LGPL-2.1-with-nokia-exception-1.1	Part of the license choice in libqt4
LGPL-2.1	LGPL v2.1 only
LGPL-2.1+	LGPL v2.1 or later
LGPL-2.1+	LGPL v2.1+
LGPL-2.1+	LGPL v2+
LGPL-2.1+	LGPL V2+
LGPL-3.0+	LGPL v3 or later
LGPL-2.0	LGPL-2.0
LGPL-2.1+	LGPL-2.0.1 or later
LGPL-2.0+	LGPL-2.0+
LGPL-2.1	LGPL-2.1
LGPL-2.1+	LGPL-2.1+
LGPL-3.0	LGPL-3.0
LGPL-3.0+	LGPL-3.0+
LGPL-2.1	LGPL2.1
LGPL-2.0	LGPLv2
LGPL-2.0	LGPLv2.0
LGPL-2.0+	LGPLv2.0+
LGPL-2.1	LGPLv2.1
LGPL-2.1+	LGPLv2.1+
LGPL-2.1+	LGPLv2+
LGPL-3.0	LGPLv3
LGPL-3.0+	LGPLv3+
GPL-2.0+	libGeoIPUpdate is GPLv2 or later
Libpng	Libpng
LPL-1.02	LPL-1.02
LPPL-1.3c	LPPL ..
LPPL-1.0	LPPL-1.0
LPPL-1.1	LPPL-1.1
LPPL-1.2	LPPL-1.2
LPPL-1.3c	LPPL-1.3c
MirOS	MirOS
MIT	MIT
MIT	MIT licence
MIT	MIT license
MIT	MIT License
MIT	MIT License (or similar)
MIT	MIT-Licence
MIT	MIT/X Consortium License
MIT	MIT/X License
MIT	MIT/X11
Motosoto	Motosoto
MPL-1.1	MOZILLA PUBLIC LICENSE (MPL/NPL)
MPL-1.1	Mozilla Public License 1.1
SUSE-MPL-1.1+	MPL 1.1 or later
MPL-1.0	MPL-1.0
MPL-1.1	MPL-1.1
MPL-1.0	MPLv1.0
MPL-1.1	MPLv1.1
MPL-1.1	MPLv1.1 ..
SUSE-MPL-1.1+	MPLv1.1+
MS-PL	Ms-Pl
MS-PL	MS-PL
MS-RL	MS-RL
Multics	Multics
NASA-1.3	NASA-1.3
Naumen	Naumen
NCSA	NCSA
NGPL	NGPL
Nokia	Nokia
NPOSL-3.0	NPOSL-3.0
NTP	NTP
SUSE-Oasis-Specification-Notice	SUSE-Oasis-Specification-Notice
OCLC-2.0	OCLC-2.0
ODbL-1.0	ODbL-1.0
OFL-1.1	OFL
OFL-1.1	OFL-1.1
OGTSL	OGTSL
OLDAP-2.8	OLDAP-2.8
OFL-1.1	Open Font License
OLDAP-2.8	openldap 2.8
